%        M          T       tree    ordered
     10000       2000          2          0
     20000       4000         13          0
     30000       6000         30          0
     40000       8000         52          1
     50000      10000         88          1
     60000      12000        137          2
     70000      14000        192          3
     80000      16000        264          5
     90000      18000        357          5
    100000      20000        462          6
    110000      22000        526          5
    120000      24000        455          6
    130000      26000        547          7
    140000      28000        694          8
    150000      30000       1113         10
    160000      32000       1107         10
    170000      34000       1093         11
    180000      36000       1317         14
    190000      38000       1629         14
    200000      40000       1691         19
    210000      42000       2140         19
    220000      44000       2175         21
    230000      46000       2651         23
    240000      48000       2968         22
    250000      50000       3256         26
    260000      52000       4451         31
    270000      54000       3882         32
    280000      56000       4153         35
    290000      58000       4473         33
    300000      60000       5050         37
    310000      62000       5690         39
    320000      64000       7559         48
    330000      66000       6316         46
    340000      68000       7175         50
    350000      70000       8228         80
    360000      72000      11339         57
    370000      74000      10271         54
    380000      76000       9265         64
    390000      78000      12022        164
    400000      80000      13597         72
    410000      82000      13353        112
    420000      84000      17000         83
    430000      86000      14433         83
    440000      88000      19351        211
    450000      90000      19812        135
    460000      92000      17225        147
    470000      94000      16981         99
    480000      96000      18751        155
    490000      98000      19952        163
    500000     100000      20460        117
    510000     102000      22475        178
    520000     104000      17337        116
    530000     106000      18126        119
    540000     108000      19133        124
    550000     110000      19801        130
    560000     112000      20159        137
    570000     114000      21460        127
    580000     116000      22050        132
    590000     118000      23242        136
    600000     120000      23906        141
    610000     122000      24784        147
    620000     124000      26040        152
    630000     126000      26998        156
    640000     128000      28040        161
    650000     130000      28988        168
    660000     132000      29977        173
    670000     134000      31195        182
    680000     136000      32083        186
    690000     138000      33532        190
    700000     140000      34382        196
    710000     142000      35478        202
    720000     144000      36888        207
    730000     146000      37849        213
    740000     148000      40008        221
    750000     150000      40719        225
    760000     152000      41350        236
    770000     154000      42730        238
    780000     156000      43805        246
    790000     158000      45919        251
    800000     160000      48932        260
    810000     162000      48744        267
    820000     164000      50267        275
    830000     166000      51869        285
    840000     168000      52654        295
    850000     170000      54050        303
    860000     172000      54911        313
    870000     174000      56265        324
    880000     176000      59381        334
    890000     178000      59268        343
    900000     180000      61116        353
    910000     182000      62264        364
    920000     184000      64098        334
    930000     186000      66013        342
    940000     188000      67423        349
    950000     190000      69184        362
    960000     192000      69996        370
    970000     194000      72938        379
    980000     196000      73879        390
    990000     198000      74420        399
   1000000     200000      75902        407
