%        M          T          N     memory       tree
        10          2         12         10          2
        20          4         24         47          6
        30          6         36        224         16
        40          8         48        699         32
        50         10         60       1702         50
        60         12         72       3598         78
        70         14         84       6592        109
        80         16         96      11409        148
        90         18        108      19181        201
       100         20        120      30148        259
