#threads  min    q25    median   q75   max
1  6532878  6538794  6541578  6544754  6810302
2  3276272  3304098  3414669  3425432  4710238
3  2209865  2292769  2299341  2356222  2566399
4  1663409  1762589  1774125  1791668  1894308
5  1389226  1433363  1459453  1465426  1534347
6  1141159  1203598  1237075  1260312  1420035
7  1023115  1038877  1075565  1078969  1087275
8  901346  912612  946418  949096  1043296
9  766977  818378  841978  844038  892199
10  718227  748453  758253  760477  814828
11  657422  689662  692265  697331  741001
12  606768  634729  638275  659967  710084
13  602708  627606  634670  659337  761126
14  590404  616622  622152  628864  669651
15  583864  604046  608744  616289  704575
16  571493  592581  595675  601059  634332
17  567499  577904  581617  584882  600420
18  553915  565449  568517  571557  584023
19  532894  553198  556622  559998  570797
20  521712  539307  541622  545738  555332
21  511795  527853  529882  532974  547258
22  504796  516137  518298  522542  539786
23  487126  503617  506733  509773  521349
24  485894  492820  495730  500574  523519

